iter	Passed	Remaining
528	7111	6331
529	7124	6317
530	7137	6304
531	7149	6289
532	7161	6275
533	7174	6260
534	7187	6246
535	7199	6232
536	7211	6217
537	7224	6203
538	7236	6189
539	7253	6178
540	7266	6165
541	7279	6150
542	7291	6136
543	7303	6122
544	7316	6108
545	7330	6095
546	7342	6080
547	7354	6066
548	7367	6052
549	7380	6038
550	7392	6023
551	7405	6009
552	7417	5996
553	7431	5982
554	7444	5968
555	7456	5954
556	7469	5940
557	7481	5926
558	7495	5913
559	7508	5899
560	7520	5885
561	7533	5871
562	7546	5857
563	7558	5843
564	7571	5829
565	7583	5814
566	7595	5800
567	7609	5787
568	7621	5773
569	7635	5760
570	7648	5746
571	7661	5732
572	7674	5719
573	7686	5704
574	7699	5690
575	7711	5676
576	7724	5663
577	7737	5648
578	7754	5638
579	7767	5624
580	7780	5610
581	7792	5596
582	7804	5582
583	7817	5568
584	7830	5554
585	7843	5541
586	7856	5527
587	7868	5513
588	7880	5499
589	7893	5485
590	7907	5472
591	7919	5457
592	7931	5443
593	7945	5430
594	7958	5416
595	7974	5405
596	7985	5390
597	8001	5378
598	8013	5364
599	8026	5350
600	8039	5337
601	8051	5323
602	8064	5309
603	8077	5295
604	8090	5282
605	8104	5269
606	8116	5255
607	8131	5242
608	8143	5228
609	8157	5215
610	8170	5201
611	8182	5187
612	8194	5173
613	8207	5159
614	8220	5146
615	8232	5132
616	8255	5124
617	8270	5111
618	8284	5099
619	8297	5085
620	8310	5071
621	8322	5057
622	8335	5044
623	8349	5031
624	8363	5018
625	8378	5005
626	8392	4992
627	8407	4980
628	8421	4967
629	8437	4955
630	8451	4942
631	8465	4929
632	8480	4916
633	8497	4905
634	8511	4892
635	8527	4880
636	8541	4867
637	8556	4855
638	8571	4842
639	8585	4829
640	8600	4816
641	8614	4803
642	8627	4790
643	8641	4777
644	8655	4763
645	8670	4751
646	8687	4740
647	8702	4727
648	8715	4713
649	8729	4700
650	8746	4689
651	8760	4675
652	8777	4664
653	8794	4652
654	8808	4639
655	8822	4626
656	8837	4613
657	8852	4601
658	8868	4588
659	8886	4578
660	8902	4565
661	8918	4553
662	8931	4539
663	8946	4527
664	8959	4513
665	8974	4500
666	8988	4487
667	9007	4476
668	9022	4464
669	9036	4451
670	9051	4438
671	9066	4425
672	9079	4411
673	9092	4397
674	9106	4384
675	9121	4371
676	9136	4359
677	9151	4346
678	9165	4333
679	9180	4320
680	9195	4307
681	9209	4294
682	9222	4280
683	9236	4267
684	9254	4255
685	9268	4242
686	9281	4228
687	9295	4215
688	9310	4202
689	9323	4188
690	9336	4174
691	9350	4161
692	9365	4148
693	9380	4135
694	9394	4122
695	9408	4109
696	9421	4095
697	9434	4081
698	9447	4068
699	9460	4054
700	9475	4041
701	9489	4028
702	9509	4017
703	9523	4004
704	9536	3990
705	9551	3977
706	9564	3963
707	9577	3950
708	9592	3937
709	9606	3923
710	9618	3909
711	9630	3895
712	9643	3881
713	9657	3868
714	9670	3854
715	9682	3840
716	9695	3826
717	9708	3813
718	9723	3800
719	9741	3788
720	9754	3774
721	9767	3761
722	9780	3747
723	9794	3733
724	9808	3720
725	9822	3706
726	9835	3693
727	9848	3679
728	9860	3665
729	9874	3652
730	9889	3639
731	9903	3625
732	9919	3613
733	9932	3599
734	9944	3585
735	9958	3572
736	10025	3577
737	10049	3567
738	10063	3554
739	10077	3540
740	10090	3526
741	10104	3513
742	10118	3499
743	10132	3486
744	10144	3472
745	10157	3458
746	10170	3444
747	10183	3430
748	10196	3417
749	10208	3402
750	10221	3389
751	10239	3376
752	10252	3362
753	10266	3349
754	10280	3335
755	10293	3322
756	10307	3308
757	10322	3295
758	10337	3282
759	10352	3269
760	10366	3255
761	10381	3242
762	10396	3229
763	10411	3216
764	10425	3202
765	10440	3189
766	10454	3175
767	10469	3162
768	10487	3150
769	10501	3136
770	10517	3123
771	10532	3110
772	10545	3096
773	10559	3083
774	10573	3069
775	10588	3056
776	10602	3042
777	10616	3029
778	10629	3015
779	10643	3001
780	10656	2988
781	10668	2974
782	10682	2960
783	10695	2946
784	10708	2932
785	10721	2919
786	10743	2907
787	10758	2894
788	10772	2880
789	10787	2867
790	10814	2857
791	10828	2843
792	10842	2830
793	10857	2816
794	10870	2803
795	10884	2789
796	10898	2775
797	10913	2762
798	10927	2748
799	10941	2735
800	10956	2722
801	10970	2708
802	10988	2695
803	11002	2682
804	11015	2668
805	11029	2654
806	11043	2641
807	11056	2627
808	11071	2613
809	11086	2600
810	11102	2587
811	11115	2573
812	11130	2560
813	11144	2546
814	11159	2533
815	11175	2519
816	11189	2506
817	11205	2493
818	11218	2479
819	11236	2466
820	11250	2452
821	11264	2439
822	11278	2425
823	11294	2412
824	11310	2399
825	11325	2385
826	11341	2372
827	11358	2359
828	11374	2346
829	11392	2333
830	11415	2321
831	11430	2308
832	11446	2294
833	11462	2281
834	11482	2269
835	11500	2256
836	11517	2242
837	11531	2229
838	11545	2215
839	11560	2202
840	11575	2188
841	11592	2175
842	11607	2161
843	11622	2148
844	11636	2134
845	11650	2120
846	11666	2107
847	11680	2093
848	11695	2080
849	11710	2066
850	11728	2053
851	11742	2039
852	11769	2028
853	11783	2014
854	11796	2000
855	11810	1986
856	11824	1973
857	11839	1959
858	11854	1945
859	11869	1932
860	11884	1918
861	11898	1904
862	11914	1891
863	11928	1877
864	11941	1863
865	11956	1850
866	11980	1837
867	11995	1824
868	12012	1810
869	12026	1797
870	12040	1783
871	12054	1769
872	12069	1755
873	12084	1742
874	12100	1728
875	12115	1714
876	12129	1701
877	12143	1687
878	12156	1673
879	12170	1659
880	12184	1645
881	12198	1631
882	12213	1618
883	12229	1604
884	12243	1590
885	12257	1577
886	12271	1563
887	12284	1549
888	12297	1535
889	12312	1521
890	12326	1507
891	12341	1494
892	12354	1480
893	12367	1466
894	12381	1452
895	12395	1438
896	12413	1425
897	12428	1411
898	12442	1397
899	12456	1384
900	12473	1370
901	12489	1356
902	12507	1343
903	12526	1330
904	12542	1316
905	12558	1302
906	12574	1289
907	12589	1275
908	12602	1261
909	12618	1247
910	12632	1234
911	12646	1220
912	12660	1206
913	12673	1192
914	12686	1178
915	12699	1164
916	12712	1150
917	12735	1137
918	12749	1123
919	12762	1109
920	12778	1096
921	12793	1082
922	12807	1068
923	12833	1055
924	12848	1041
925	12864	1028
926	12880	1014
927	12896	1000
928	12911	986
929	12926	972
930	12942	959
931	12958	945
932	12976	931
933	12990	917
934	13008	904
935	13028	890
936	13045	877
937	13062	863
938	13077	849
939	13093	835
940	13109	821
941	13126	808
942	13143	794
943	13160	780
944	13174	766
945	13188	752
946	13203	738
947	13220	725
948	13235	711
949	13251	697
950	13267	683
951	13282	669
952	13295	655
953	13310	641
954	13325	627
955	13339	613
956	13354	600
957	13367	586
958	13381	572
959	13394	558
960	13408	544
961	13420	530
962	13434	516
963	13447	502
964	13465	488
965	13478	474
966	13491	460
967	13505	446
968	13519	432
969	13532	418
970	13545	404
971	13558	390
972	13571	376
973	13586	362
974	13599	348
975	13612	334
976	13624	320
977	13637	306
978	13651	292
979	13664	278
980	13677	264
981	13690	250
982	13704	237
983	13721	223
984	13734	209
985	13747	195
986	13761	181
987	13773	167
988	13786	153
989	13800	139
990	13815	125
991	13830	111
992	13845	97
993	13861	83
994	13879	69
995	13896	55
996	13911	41
997	13927	27
998	13940	13
999	13966	0
