iter	MultiClass
150	0.3954412962
151	0.3910619447
152	0.3903538634
153	0.3895353841
154	0.3881905613
155	0.3870965517
156	0.3849464785
157	0.3835099793
158	0.3825272643
159	0.3815956451
160	0.3801068948
161	0.3791488731
162	0.3780636618
163	0.3767911776
164	0.3751517609
165	0.3736393919
166	0.3722076556
167	0.3710198051
168	0.3698402732
169	0.3689434615
170	0.3676044869
171	0.3661010546
172	0.3637941207
173	0.3629676981
174	0.3622380659
175	0.3612110357
176	0.3596301882
177	0.3586043863
178	0.3569191135
179	0.3560495895
180	0.3555458312
181	0.3530473947
182	0.3522660852
183	0.3511417843
184	0.3503929871
185	0.3486023491
186	0.3479399215
187	0.3474814174
188	0.3467733939
189	0.3458003562
190	0.3448311681
191	0.3436735559
192	0.3428716884
193	0.341838754
194	0.3414099655
195	0.3407523146
196	0.3390580423
197	0.337911816
198	0.3362542872
199	0.3351092748
200	0.3346934454
201	0.3323982853
202	0.3319892988
203	0.3307138362
204	0.3287895692
205	0.3284255689
206	0.3271664869
207	0.3266420836
208	0.3258115266
209	0.3252725353
210	0.3241924017
211	0.3237785836
212	0.323030397
213	0.3207529478
214	0.320425548
215	0.3199314179
216	0.3192564798
217	0.3185770989
218	0.3173313832
219	0.3159323533
220	0.3152536192
221	0.313823888
222	0.3131247933
223	0.3122590237
224	0.3114689426
225	0.3111422488
226	0.3108414634
227	0.3096240987
228	0.3090838013
229	0.3083375687
230	0.3079675408
231	0.3076018793
232	0.3072755924
233	0.3069313624
234	0.306434538
235	0.3060854019
236	0.3057074203
237	0.3047624792
238	0.3040312272
239	0.3036229221
240	0.3026445362
241	0.3019154407
242	0.300728946
243	0.300271811
244	0.2989926862
245	0.2984067225
246	0.2980947709
247	0.2976817595
248	0.2971865316
249	0.2960490428
250	0.2954763366
251	0.2945594796
252	0.2939691715
253	0.2936601025
254	0.2927942028
255	0.2921941879
256	0.2913881212
257	0.2910573283
258	0.2901425849
259	0.2895858004
260	0.2888612581
261	0.2880736812
262	0.2871925725
263	0.2868970623
264	0.2865713978
265	0.2860737918
266	0.2856545921
267	0.285361627
268	0.2845285334
269	0.2836715915
270	0.2831407311
271	0.2825888148
272	0.2814969472
273	0.2808323371
274	0.2805655462
275	0.2802125683
276	0.2793477527
277	0.2785899731
278	0.2780847047
279	0.2775263089
280	0.2768460525
281	0.2765613611
282	0.276251045
283	0.2759563525
284	0.2755087678
285	0.2748585417
286	0.2744396839
287	0.2740685472
288	0.2738340963
289	0.273484398
290	0.2729337622
291	0.2713590531
292	0.2709316812
293	0.2706002179
294	0.2699546047
295	0.2694713915
296	0.2689273226
297	0.2686155869
298	0.2680735487
299	0.2672154377
300	0.2668529208
301	0.2665038339
302	0.2657228742
303	0.265283923
304	0.2648311026
305	0.2639694921
306	0.263593492
307	0.2632290742
308	0.2622702393
309	0.2616614149
310	0.2605557323
311	0.2602747553
312	0.2600917481
313	0.2596538566
314	0.2593980001
315	0.25919987
316	0.2587479139
317	0.2584122912
318	0.2571343924
319	0.2566073415
320	0.2557391793
321	0.2552675899
322	0.2547113992
323	0.2539082474
324	0.2536914027
325	0.2534735981
326	0.252361814
327	0.2515802122
328	0.2508258505
329	0.2504957494
330	0.2501568361
331	0.2495842627
332	0.2493277381
333	0.248791187
334	0.2483359577
335	0.2479975902
336	0.2477616219
337	0.2474350921
338	0.2471400777
339	0.2467926999
340	0.2464984742
341	0.2462733344
342	0.2459395402
343	0.2454749931
344	0.2450616958
345	0.244819678
346	0.2444787611
347	0.2435608625
348	0.2430791424
349	0.2427568976
350	0.2418820608
351	0.2416939285
352	0.2412697356
353	0.2408439808
354	0.2406019171
355	0.2397158734
356	0.2391977117
357	0.2387473369
358	0.2384335594
359	0.2382642937
360	0.2379231801
361	0.2372531446
362	0.2370352413
363	0.2368305314
364	0.236494889
365	0.2357103056
366	0.2354436098
367	0.2351069581
368	0.234462805
369	0.2340881052
370	0.2336794173
371	0.2332221717
372	0.2325395768
373	0.23205164
374	0.2317080282
375	0.2314043331
376	0.2310692151
377	0.2305047919
378	0.2302861661
379	0.2298157792
380	0.2295768707
381	0.2292646634
382	0.2289153648
383	0.2287177361
384	0.2271807385
385	0.2269512328
386	0.2266880944
387	0.2263821212
388	0.2259354807
389	0.2257119001
390	0.2253008785
391	0.2247092877
392	0.2245203555
393	0.2243433084
394	0.2234587822
395	0.2231216436
396	0.2223373773
397	0.2219481817
398	0.2215643208
399	0.2203472118
400	0.2201513039
401	0.2196648769
402	0.219438444
403	0.2192462784
404	0.2189643051
405	0.2187148127
406	0.218239087
407	0.218032604
408	0.2178708366
409	0.2176161343
410	0.2173478295
411	0.2157692941
412	0.2154183174
413	0.2152382646
414	0.2148457231
415	0.2146062882
416	0.2144360637
417	0.2140527698
418	0.2138564347
419	0.2131374083
420	0.2122657374
421	0.2116352605
422	0.211366163
423	0.2111860352
424	0.2105061466
425	0.2102909298
426	0.210047622
427	0.2098418736
428	0.2087232978
429	0.2085028671
430	0.208065397
431	0.2073444598
432	0.2071851735
433	0.2059175056
434	0.2054906949
435	0.2052377214
436	0.204802836
437	0.2040511123
438	0.2036191144
439	0.2034435807
440	0.2032583323
441	0.2028140605
442	0.2026171141
443	0.2021131225
444	0.2019496374
445	0.2012033195
446	0.201066395
447	0.2005216527
448	0.1999516331
449	0.199721479
450	0.199562886
451	0.1988327309
452	0.1981057864
453	0.1977358818
454	0.197553669
455	0.1971026746
456	0.1968110902
457	0.1966715753
458	0.1965009715
459	0.196320818
460	0.1955521293
461	0.1952562719
462	0.195096596
463	0.1949692712
464	0.1947682315
465	0.1940528881
466	0.1938711175
467	0.1935512125
468	0.1929784874
469	0.19263406
470	0.1918684117
471	0.1916279801
472	0.1913132951
473	0.1910304528
474	0.1905454697
475	0.1903099157
476	0.1901274503
477	0.1897251298
478	0.1894936147
479	0.1893050686
480	0.1889265468
481	0.1884207361
482	0.1880974208
483	0.1879690008
484	0.1878354648
485	0.1876912437
486	0.1874147856
487	0.1872417866
488	0.1869238609
489	0.1868040489
490	0.1864519112
491	0.1862683844
492	0.1861006413
493	0.1856326218
494	0.1853598512
495	0.1851455219
496	0.1849197395
497	0.1847070247
498	0.184487734
499	0.1839308982
500	0.1835949862
501	0.1833898919
502	0.1832524351
503	0.1829396038
504	0.1826156251
505	0.1823890314
506	0.181360181
507	0.181092196
508	0.1806732868
509	0.1805318877
510	0.1803110119
511	0.1797996504
512	0.1796414358
513	0.1793730153
514	0.1791914819
515	0.178944514
516	0.1787005507
517	0.178383245
518	0.1781103464
519	0.1777388503
520	0.1775358488
521	0.177413367
522	0.1772855039
523	0.1770265276
524	0.1768448561
525	0.1762726177
526	0.17611287
527	0.1757852373
528	0.1756764295
529	0.1752270617
530	0.1750860399
531	0.174900281
532	0.1747886599
533	0.1744437884
534	0.1736658588
535	0.1735353409
536	0.1733742739
537	0.1731427209
538	0.1727313493
539	0.1726140029
540	0.172330263
541	0.17200495
542	0.1718962195
543	0.171693704
544	0.1714166407
545	0.1713002574
546	0.1710640332
547	0.170872839
548	0.1706363703
549	0.1704432176
550	0.1700641141
551	0.1696574109
552	0.1695307122
553	0.1694253282
554	0.1689610979
555	0.1684577256
556	0.1681097437
557	0.1677720932
558	0.167340582
559	0.1669918983
560	0.1667322976
561	0.1665719257
562	0.1664269226
563	0.1662065169
564	0.1660311629
565	0.1657560565
566	0.1656614236
567	0.1654919243
568	0.1653394122
569	0.1652020925
570	0.1651222107
571	0.1647988335
572	0.1645722339
573	0.1644778339
574	0.1642577673
575	0.1641176713
576	0.1638828285
577	0.163774327
578	0.1633572608
579	0.1631896683
580	0.1630527466
581	0.162942287
582	0.1623557092
583	0.1619871576
584	0.1618529895
585	0.1617451786
586	0.1616450173
587	0.1611430812
588	0.1609873257
589	0.1606477406
590	0.1604983651
591	0.1602276879
592	0.1601294418
593	0.1599597206
594	0.1597749362
595	0.159380744
596	0.1584007518
597	0.1581284188
598	0.1579401555
599	0.157647624
600	0.1573242914
601	0.1572119088
602	0.1569509882
603	0.156610586
604	0.1564512939
605	0.1558658695
606	0.1554190966
607	0.1550807137
608	0.1549038779
609	0.1545952977
610	0.1544380843
611	0.1542092933
612	0.1540602718
613	0.153973007
614	0.1538782034
615	0.1537595916
616	0.1535206971
617	0.1533514327
618	0.1530721501
619	0.1529259751
620	0.1528458062
621	0.1527458211
622	0.1525402787
623	0.1523464924
624	0.152103152
625	0.1519653193
626	0.1518511995
627	0.1517326328
628	0.1514143537
629	0.1512733781
630	0.1509796731
631	0.1508120828
632	0.1500315073
633	0.1498289862
634	0.1497070544
635	0.1494806192
636	0.1493794692
637	0.1492182816
638	0.1490249261
639	0.1488837568
640	0.1486929566
641	0.1484582858
642	0.1482004831
643	0.1475885628
644	0.1473711416
645	0.1470363953
646	0.1466667805
647	0.1464292609
648	0.1463494996
649	0.1462477723
650	0.1461352252
651	0.1460339856
652	0.1459566965
653	0.1458644475
654	0.1455140213
655	0.1453711236
656	0.1452596937
657	0.1450581774
658	0.1447083729
659	0.1446113739
660	0.1444369518
661	0.1442699164
662	0.1441978307
663	0.1441037031
664	0.1436690659
665	0.1432343085
666	0.1431412594
667	0.1428385334
668	0.1427353404
669	0.1423898927
670	0.1423134419
671	0.1418686627
672	0.141662268
673	0.1411323213
674	0.1410253095
675	0.1409350047
676	0.1408025201
677	0.1406802616
678	0.1397412096
679	0.1395816636
680	0.1394228794
681	0.1391731434
682	0.138931176
683	0.1387517956
684	0.1386088917
685	0.1384965655
686	0.1380506582
687	0.1379149216
688	0.1377520435
689	0.1376520741
690	0.137514494
691	0.137402508
692	0.1371298183
693	0.1370443928
694	0.1367198414
695	0.136476336
696	0.1362920835
697	0.1361546205
698	0.1356743959
699	0.1355926905
700	0.1353632744
701	0.1351815529
702	0.1350943415
703	0.1349963965
704	0.1348881933
705	0.1347512017
706	0.1344614642
707	0.1343501836
708	0.1342770812
709	0.1340801168
710	0.1339317561
711	0.1337899616
712	0.1337084345
713	0.1335909092
714	0.1333434348
715	0.1331382972
716	0.1329188991
717	0.1325722072
718	0.1324315578
719	0.1320243915
720	0.1319108589
721	0.1317201643
722	0.1316263473
723	0.1315044297
724	0.1312772075
725	0.1311168037
726	0.1307894045
727	0.1306583667
728	0.1304927047
729	0.1303766975
730	0.1302024812
731	0.1298594989
732	0.129780031
733	0.1295735603
734	0.1294619137
735	0.128964926
736	0.1288223096
737	0.1287291219
738	0.1285147396
739	0.128389485
740	0.1283244587
741	0.1282190962
742	0.1281241057
743	0.1279871009
744	0.1278365866
745	0.127754347
746	0.1276598374
747	0.1272242042
748	0.1270927696
749	0.1269860577
750	0.1266471699
751	0.126386064
752	0.1263170335
753	0.126186147
754	0.1261130048
755	0.1260103228
756	0.1257482338
757	0.1256610635
758	0.1254791298
759	0.1254011063
760	0.125327136
761	0.1252407854
762	0.1251419462
763	0.1250066545
764	0.1248915288
765	0.1246794262
766	0.1245040413
767	0.1244279391
768	0.1242705584
769	0.1241491371
770	0.1239983041
771	0.1239262467
772	0.1236951699
773	0.1236290036
774	0.1235654772
775	0.1232920099
776	0.123197892
777	0.1230895705
778	0.122956028
779	0.1228794722
780	0.1228002476
781	0.1226141134
782	0.122366299
783	0.1218338893
784	0.1216649791
785	0.1215724831
786	0.1214667257
787	0.1214037958
788	0.121100884
789	0.1209861658
790	0.1209193971
791	0.1206992718
792	0.1204742629
793	0.1203629042
794	0.1202994615
795	0.1202152642
796	0.12012316
797	0.12005039
798	0.119975201
799	0.1198564952
800	0.1196104534
801	0.1194831764
802	0.1193950484
803	0.1189372867
804	0.1187684023
805	0.1185677823
806	0.1184331556
807	0.1183837914
808	0.1181989079
809	0.1180846825
810	0.1180364587
811	0.1179286959
812	0.1178437752
813	0.1177471615
814	0.1176948448
815	0.1175460751
816	0.1174189154
817	0.11735044
818	0.1172135116
819	0.1170847222
820	0.1169061633
821	0.1168396525
822	0.1167785434
823	0.1166420786
824	0.1164886653
825	0.1163033157
826	0.1161218503
827	0.1160588025
828	0.1159739368
829	0.1159111634
830	0.1155883336
831	0.1155066358
832	0.1154443375
833	0.115343493
834	0.1152742617
835	0.1151245271
836	0.1150729516
837	0.1149992638
838	0.1149221712
839	0.1146714132
840	0.1144733129
841	0.1140738268
842	0.1137714691
843	0.113682332
844	0.1136241309
845	0.1134969022
846	0.11344028
847	0.1133528242
848	0.1131990146
849	0.1129786525
850	0.1127932074
851	0.112528568
852	0.1123196626
853	0.1122133163
854	0.1121622181
855	0.1119698196
856	0.1118207366
857	0.1114270894
858	0.1111375198
859	0.1110315205
860	0.1109621499
861	0.1107833811
862	0.1107241535
863	0.1106687227
864	0.1104395808
865	0.110193523
866	0.1101354299
867	0.1100799761
868	0.1100013054
869	0.1097395871
870	0.1096812596
871	0.109621325
872	0.109390682
873	0.1093456503
874	0.1092290115
875	0.1091595962
876	0.1088073869
877	0.108605893
878	0.108475592
879	0.1084075477
880	0.1082618338
881	0.1080571277
882	0.1079251859
883	0.107862718
884	0.1077930167
885	0.107704333
886	0.1075031605
887	0.1074350007
888	0.1073761785
889	0.1073254717
890	0.1071962007
891	0.1070602726
892	0.1067763664
893	0.1067243073
894	0.1066788868
895	0.1063969644
896	0.1063458396
897	0.1061782231
898	0.1060829676
899	0.1060300558
900	0.1058177425
901	0.105776462
902	0.1057010547
903	0.1056450447
904	0.1055683568
905	0.1055120754
906	0.1053510241
907	0.1053016775
908	0.1052054884
909	0.1049046261
910	0.104834287
911	0.1046642688
912	0.1045377944
913	0.1044618256
914	0.1043064226
915	0.1040887877
916	0.1038785061
917	0.1037414009
918	0.1036057553
919	0.1035613122
920	0.1034631273
921	0.1032379946
922	0.1031942319
923	0.1030539736
924	0.1030014241
925	0.1027175009
926	0.102664105
927	0.1026063793
928	0.102561079
929	0.102519707
930	0.1024491629
931	0.1023962367
932	0.1023441199
933	0.10227704
934	0.1022190836
935	0.1021795639
936	0.1021181013
937	0.102026109
938	0.1019522022
939	0.1018773677
940	0.1018255088
941	0.1017082361
942	0.1015414685
943	0.1014509064
944	0.101244971
945	0.1011613981
946	0.1011222042
947	0.1010128936
948	0.1009168148
949	0.1007628627
950	0.1006420422
951	0.100525659
952	0.1003516675
953	0.1003032797
954	0.1002201539
955	0.1001442346
956	0.1000030306
957	0.09991547536
958	0.09985444918
959	0.0997651248
960	0.09971331046
961	0.09967232567
962	0.09959079559
963	0.09953280791
964	0.09946589057
965	0.09941482403
966	0.09938057782
967	0.09928375052
968	0.09917233417
969	0.09906306938
970	0.09900581248
971	0.09893612805
972	0.09886407744
973	0.09881826721
974	0.09878229335
975	0.09875149797
976	0.09867941173
977	0.09853833492
978	0.09843917036
979	0.0984081435
980	0.09835536887
981	0.09826193421
982	0.09821540798
983	0.09808960448
984	0.09805335417
985	0.09800116087
986	0.09795368789
987	0.09791096974
988	0.0978178303
989	0.09775354826
990	0.09768296999
991	0.09762252277
992	0.09746161501
993	0.09742121693
994	0.09729303981
995	0.09725196231
996	0.09718565401
997	0.09707398407
998	0.09701702715
999	0.09685158924
